"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06037","0","10","70","0","2016","1","",464299,4280837,4312805,4309895,63656570886,20164981633,925223547,1138,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21216,4.8,127689,3.1,127992,3.1,108360,2.6,2891925640,4.8,932234346,4.8,-10834518,-1.2,20,1.8
"06037","1","10","71","0","2016","1","",438,47147,47359,47264,964833407,0,0,1571,"",0.15,0.55,0.55,0.56,0.52,0.00,0.00,0.95,"",5,1.2,439,0.9,434,0.9,246,0.5,-44304891,-4.4,0,0.0,0,0.0,-85,-5.1
"06037","1","102","72","0","2016","1","",438,47147,47359,47264,964833407,0,0,1571,"",0.15,0.56,0.56,0.57,0.53,0.00,0.00,0.95,"",5,1.2,439,0.9,434,0.9,246,0.5,-44304891,-4.4,0,0.0,0,0.0,-85,-5.1
"06037","1","1021","73","0","2016","1","",207,17734,18130,18118,262513366,0,0,1122,"",0.14,0.86,0.87,0.87,0.83,0.00,0.00,0.96,"",1,0.5,116,0.7,366,2.1,236,1.3,-46228869,-15.0,0,0.0,0,0.0,-216,-16.1
"06037","1","1023","73","0","2016","1","",3,99,97,98,3284789,0,0,2578,"",0.08,0.24,0.23,0.24,0.24,0.00,0.00,1.02,"",0,0.0,4,4.2,1,1.0,-1,-1.0,174680,5.6,0,0.0,0,0.0,103,4.2
"06037","1","1024","73","0","2016","1","",8,592,587,584,14088269,0,0,1844,"",0.11,0.30,0.30,0.30,0.29,0.00,0.00,0.99,"",0,0.0,1,0.2,-6,-1.0,-14,-2.3,1203089,9.3,0,0.0,0,0.0,175,10.5
"06037","1","1025","73","0","2016","1","",7,7865,7854,7816,183299376,0,0,1797,"",0.11,0.64,0.63,0.63,0.66,0.00,0.00,1.05,"",0,0.0,318,4.2,271,3.6,226,3.0,8541243,4.9,0,0.0,0,0.0,22,1.2
"06037","1","1026","73","0","2016","1","",7,38,37,38,222798,0,0,455,"",0.09,0.03,0.03,0.03,0.01,0.00,0.00,0.46,"",3,75.0,22,137.5,21,131.2,22,137.5,138739,165.0,0,0.0,0,0.0,51,12.6
"06037","1","1027","73","0","2016","1","",1,8,8,7,110478,0,0,1108,"",0.12,0.06,0.06,0.05,0.06,0.00,0.00,1.03,"",0,0.0,0,0.0,1,14.3,0,0.0,3452,3.2,0,0.0,0,0.0,-15,-1.3
"06037","1","1028","73","0","2016","1","",205,20811,20646,20603,501314331,0,0,1864,"",0.17,0.45,0.44,0.45,0.44,0.00,0.00,0.99,"",1,0.5,-22,-0.1,-220,-1.1,-223,-1.1,-8137225,-1.6,0,0.0,0,0.0,-16,-0.9
