"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06037","0","10","70","0","2015","A","",451888,4244646,249341000870,31431449960,1500151110,1130,58742,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12791,2.9,90006,2.2,13951893987,5.9,1117279314,3.7,13253987,0.9,40,3.7,2085,3.7
"06037","1","10","71","0","2015","A","",437,47362,3818396069,0,0,1550,80622,"",0.15,0.56,0.53,0.00,0.00,0.93,0.93,"",0,0.0,632,1.4,157041026,4.3,0,0.0,0,0.0,43,2.9,2271,2.9
"06037","1","102","72","0","2015","A","",437,47362,3818396069,0,0,1550,80622,"",0.15,0.57,0.54,0.00,0.00,0.93,0.93,"",0,0.0,632,1.4,157041026,4.3,0,0.0,0,0.0,43,2.9,2271,2.9
"06037","1","1021","73","0","2015","A","",209,17986,1166087493,0,0,1247,64832,"",0.15,0.88,0.83,0.00,0.00,0.94,0.94,"",3,1.5,188,1.1,58976656,5.3,0,0.0,0,0.0,51,4.3,2627,4.2
"06037","1","1023","73","0","2015","A","",3,98,11629767,0,0,2278,118470,"",0.08,0.24,0.23,0.00,0.00,0.98,0.99,"",0,0.0,2,2.1,313194,2.8,0,0.0,0,0.0,21,0.9,1098,0.9
"06037","1","1024","73","0","2015","A","",8,589,53451525,0,0,1745,90724,"",0.11,0.30,0.29,0.00,0.00,0.97,0.97,"",0,0.0,-16,-2.6,-1413372,-2.6,0,0.0,0,0.0,0,0.0,1,0.0
"06037","1","1025","73","0","2015","A","",7,7701,656891975,0,0,1640,85300,"",0.11,0.64,0.67,0.00,0.00,1.03,1.03,"",0,0.0,277,3.7,45587325,7.5,0,0.0,0,0.0,57,3.6,2958,3.6
"06037","1","1026","73","0","2015","A","",5,25,552581,0,0,432,22478,"",0.07,0.02,0.01,0.00,0.00,0.46,0.46,"",1,25.0,6,31.6,136385,32.8,0,0.0,0,0.0,-1,-0.2,-19,-0.1
"06037","1","1027","73","0","2015","A","",1,7,398929,0,0,1070,55665,"",0.13,0.05,0.05,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-4503,-1.1,0,0.0,0,0.0,-13,-1.2,-628,-1.1
"06037","1","1028","73","0","2015","A","",204,20955,1929383799,0,0,1771,92072,"",0.17,0.46,0.44,0.00,0.00,0.96,0.96,"",-4,-1.9,174,0.8,53445341,2.8,0,0.0,0,0.0,35,2.0,1802,2.0
